"","county","lat","lon","cases_ratio","below_poverty_ratio","uninsured_ratio","overcrowding_ratio"
"1","Autauga",32.5349279554825,-86.6427478088138,5.35,12.17,7.44,0.46
"2","Baldwin",30.7274889936377,-87.7225752373643,4.76,12.81,9.58,0.48
"3","Barbour",31.8695888091185,-85.3932129145765,4.57,23.43,8.03,0.59
"4","Bibb",32.9986341529285,-87.1264801385788,5.63,15.02,7.65,0.1
"5","Blount",33.98087819855,-86.5673834130292,5.6,16.36,10.97,0.68
"6","Bullock",32.1005343779333,-85.7156862699383,6.74,25.85,7.61,0.06
"7","Butler",31.7524178062516,-86.6803028820603,5.97,25.28,8.67,0.62
"8","Calhoun",33.771436514234,-85.8260345892421,5.99,19.1,9.51,0.6
"9","Chambers",32.9143528740884,-85.3920334889517,5.56,20,9.43,1.63
"10","Cherokee",34.1759260075593,-85.6038003875482,4.18,16.17,8.57,0.62
"11","Chilton",32.8478699835387,-86.7188037582823,5.37,20.04,11.45,1.1
"12","Choctaw",32.0197775016724,-88.2631848997968,3.28,20.64,8.46,0.56
"13","Clarke",31.6766821203951,-87.8308139065017,6.66,24.24,9.2,0.59
"14","Clay",33.2690305969931,-85.8605830724965,7.08,16.28,10.82,0.39
"15","Cleburne",33.6745195883524,-85.518813831547,5.4,19.27,10.61,0.66
"16","Coffee",31.4026522757973,-85.9881591675225,5.1,16.12,10.11,0.53
"17","Colbert",34.7004766900769,-87.8049337147506,6.4,16.39,7.76,0.28
"18","Conecuh",31.429239748367,-86.9936783666157,5.77,32.35,9.07,0.83
"19","Coosa",32.9362495116424,-86.2476572937147,3.54,14.82,9.66,0.62
"20","Covington",31.2484986581257,-86.4512771459695,6.22,18.64,9.34,0.63
"21","Crenshaw",31.7315375353875,-86.3135790093729,5.31,17.88,9.87,0.3
"22","Cullman",34.1319499964658,-86.8675825749094,6.03,16.87,10.41,0.67
"23","Dale",31.4318149499692,-85.6110090405247,4.99,19.95,7.88,0.54
"24","Dallas",32.325976007532,-87.1064720778568,5.72,33.86,7.92,1.74
"25","DeKalb",34.4598061323521,-85.8041138637093,7.36,19.56,14.36,1.02
"26","Elmore",32.5966528384219,-86.1491639423542,5.43,13.46,6.93,0.41
"27","Escambia",31.1261417372159,-87.1615837041193,5.51,23.48,10.57,0.81
"28","Etowah",34.045265538097,-86.0347632602892,6.82,18.1,9.89,0.62
"29","Fayette",33.7212302642574,-87.7388663868369,6.09,17.06,8.76,0.57
"30","Franklin",34.4416987415131,-87.8437398551369,8.41,22.02,12.59,1.54
